name,company,address,lat,lng,category,phone,fax,url
介護老人福祉施設 たんぽぽの丘,社会福祉法人札幌恵友会,南8条西26丁目1-2,43.04581,141.3207,特養,011-531-5000,011-531-5200,shinya@keiyu-kai.org
特別養護老人ホーム ラスール苗穂,社会福祉法人湖星会,北海道札幌市中央区北２条東１９丁目１１－２特別養護老人ホームラスール苗穂,43.06918,141.3861,特養,011-206-7677,011-206-7850,http://koseikai-star.com/
あすかHOUSE中央,社会福祉法人明日佳,北海道札幌市中央区南3条西14丁目1-1,43.0545,141.3354,特養,011-209-8001,011-209-8006,http://www.asuka-sw.jp/
特別養護老人ホーム ラスール苗穂リバーサイド,社会福祉法人湖星会,北海道札幌市中央区北1条東19丁目6番地3,43.06863,141.387,特養,011-206-7007,011-206-6623,https://koseikai-star.com/facility/3009
特別養護老人ホーム ラスール苗穂 ウエストサイド,社会福祉法人湖星会,北海道札幌市中央区北１条東１９丁目6-3,43.06864,141.387,特養,011-206-7154,011-206-7547,http://koseikai-star.com/
特別養護老人ホーム 札幌こもれびの家,社会福祉法人水の会,北海道札幌市中央区南25条西11丁目1番40号特別養護老人ホーム 札幌こもれびの家,43.02587,141.3444,特養,011-520-0011,011-520-0010,http://www.mizunokai.ed.jp/sapporo_komorebinoie/
慈啓会特別養護老人ホーム,社会福祉法人 札幌慈啓会,札幌市中央区旭ヶ丘５丁目６番５１号,43.03663,141.3236,特養,011-561-8291,011-561-8298,http://www.sapporojikeikai.or.jp
慈啓会特別養護老人ホームユニット型,社会福祉法人 札幌慈啓会,北海道札幌市中央区旭ヶ丘5丁目6番51号,43.03696,141.3233,特養,011-561-8291,011-561-8298,http://www.sapporojikeikai.or.jp
西円山敬樹園,社会福祉法人 渓仁会,札幌市中央区円山西町4丁目3番20号,43.04219,141.3038,特養,011-631-1021,011-614-9268,http://www.keijinkai.com/keijuen/
特別養護老人ホームしのろ三清荘,社会福祉法人経山会,北海道札幌市北区篠路5条8丁目2-8,43.14769,141.3677,特養,011-214-1241,011-214-1245,http://www.keizankai.or.jp
介護老人福祉施設 福寿園,社会福祉法人 札幌恵友会,札幌市北区東茨戸２条２丁目８番２１号,43.16429,141.3576,特養,011-772-7181,011-773-1111,https://www.keiyu-kai.org/
新川エバーライフ,社会福祉法人 札幌恵友会,北海道札幌市北区新川７１５番地２,43.11815,141.297,特養,011-764-3663,011-764-3216,http://www.keiyu-kai.org/
特別養護老人ホーム グリーンピア篠路,社会福祉法人エムアール会,札幌市北区篠路２条９丁目１番８０号,43.1414,141.3691,特養,011-770-2121,011-770-6262,http://www1/odn.ne.jp/green-pia/
特別養護老人ホーム オニオンコート,社会福祉法人百合の会,札幌市北区百合が原11丁目185－13,43.13225,141.3669,特養,011-774-2133,011-774-3377,http://onion.or.jp
特別養護老人ホーム 清明庵,社会福祉法人翔陽会,北海道札幌市北区屯田９条３丁目３番３０号特別養護老人ホーム清明庵,43.14337,141.3413,特養,011-774-9277,011-774-9988,http://www.shoyokai.org
特別養護老人ホーム清香園,社会福祉法人清香園,北海道札幌市北区新琴似1条3丁目3番6号,43.10462,141.3222,特養,011-769-8520,011-763-7501,http://www.seikaen-hp.com
特別養護老人ホーム七色の風,社会福祉法人パートナー,北海道札幌市北区屯田9条9丁目5番15号,43.14382,141.3245,特養,011-775-7160,011-775-7162,https://partner.or.jp/
介護老人福祉施設ら・せれな,社会福祉法人禎心会,北海道札幌市北区百合が原3丁目１－１,43.12508,141.3553,特養,011-702-1152,011-702-1278,https://www.sw-teishinkai.jp/
介護老人福祉施設白ゆりあいの里,社会福祉法人悠生会,北海道札幌市北区あいの里３条８丁目１４番１号,43.16551,141.4116,特養,011-770-5880,011-770-5565,http://www.h-yuuseikai.or.jp
